season,daynum,hometeam,awayteam,home_open,home_close1,away_close1,home_close2,away_close2,home_close3,away_close3,home_close4,away_close4,home_close5,away_close5,home_close6,away_close6,home_close7,away_close7,home_close8,away_close8,home_close9,away_close9,home_close10,away_close10
2009,12,1103,1145,14.5,12.5,-12.5,12.5,-12.5,13,-13,12.5,-12.5,13,-13,13,-13,,,,,,,,
2009,12,1155,1395,17,17,-17,17,-17,17,-17,17,-17,17,-17,17,-17,17,-17,,,,,,
2009,12,1179,1139,6.5,6,-6,6,-6,6,-6,6,-6,6.5,-6.5,6,-6,,,,,,,,
2009,12,1222,1443,6,8,-8,8.5,-8.5,8.5,-8.5,8,-8,8,-8,8.5,-8.5,8.5,-8.5,,,,,,
2009,12,1286,1305,-8,-8,8,-8.5,8.5,-8,8,-8,8,-8,8,,,,,,,,,,
2009,12,1309,1301,-8,-8.5,8.5,-8.5,8.5,-8.5,8.5,-8.5,8.5,-8.5,8.5,-8.5,8.5,,,,,,,,
2009,12,1314,1335,30.5,32,-32,32.5,-32.5,32,-32,32,-32,32.5,-32.5,32.5,-32.5,,,,,,,,
2009,12,1339,1449,-10.5,-11,11,-11.5,11.5,-11.5,11.5,-11,11,-11,11,-11,11,,,,,,,,
2009,12,1344,1318,12,10,-10,10,-10,10,-10,10,-10,10,-10,10,-10,,,,,,,,
2009,12,1349,1340,-5,-3,3,-3,3,-3,3,-3,3,-3.5,3.5,,,,,,,,,,
2009,12,1424,1360,11,12,-12,12,-12,12,-12,12,-12,12,-12,12,-12,,,,,,,,
2009,12,1444,1220,7,7,-7,7,-7,7,-7,7,-7,7,-7,7,-7,7,-7,,,,,,
2009,12,1460,1229,3.5,3.5,-3.5,3.5,-3.5,3.5,-3.5,3.5,-3.5,3.5,-3.5,,,,,,,,,,
2009,12,1464,1138,-1,-2.5,2.5,-2.5,2.5,-2.5,2.5,-3,3,-2,2,,,,,,,,,,
2009,13,1155,1396,7.5,7.5,-7.5,7.5,-7.5,7.5,-7.5,7.5,-7.5,7.5,-7.5,7.5,-7.5,7.5,-7.5,,,,,,
2009,13,1174,1353,4,4.5,-4.5,4.5,-4.5,4.5,-4.5,4.5,-4.5,4.5,-4.5,,,,,,,,,,
2009,13,1181,1348,24,25.5,-25.5,25.5,-25.5,25.5,-25.5,25.5,-25.5,25.5,-25.5,25.5,-25.5,25.5,-25.5,,,,,,
2009,13,1196,1133,15.5,17,-17,16.5,-16.5,17,-17,17,-17,16.5,-16.5,17,-17,16.5,-16.5,,,,,,
2009,13,1220,1190,2.5,4,-4,3.5,-3.5,3.5,-3.5,3.5,-3.5,2.5,-2.5,,,,,,,,,,
2009,13,1235,1454,3.5,5,5,5,5,5.5,6,,,,,,,,,,,,,,
2009,13,1243,1369,20.5,24.5,-24.5,24.5,-24.5,25,-25,24.5,-24.5,,,,,,,,,,,,
2009,13,1277,1225,30,28,-28,28,-28,28,-28,27.5,-27.5,,,,,,,,,,,,
2009,13,1278,1209,14,12,-12,12,-12,11.5,-11.5,12,-12,11.5,-11.5,12,-12,,,,,,,,
2009,13,1304,1363,14,13.5,-13.5,13.5,-13.5,14,-14,14,-14,,,,,,,,,,,,
2009,13,1325,1456,7.5,8.5,-8.5,8.5,-8.5,8.5,-8.5,9,-9,8.5,-8.5,,,,,,,,,,
2009,13,1337,1114,-4.5,-7,7,-7,7,-7.5,7.5,-7,7,-7,7,,,,,,,,,,
2009,13,1371,1162,13.5,14,-14,14,-14,14.5,-14.5,14,-14,14,-14,,,,,,,,,,
2009,13,1413,1258,8,8,-8,7.5,-7.5,8,-8,8,-8,7.5,-7.5,7.5,-7.5,8,-8,,,,,,
2009,13,1435,1287,17.5,17,-17,17.5,-17.5,17.5,-17.5,17.5,-17.5,,,,,,,,,,,,
2009,13,1458,1253,21.5,22.5,-22.5,22.5,-22.5,22.5,-22.5,22.5,-22.5,23,-23,,,,,,,,,,
